Advertiser,Date,Device,Type,First Seen,Last Seen,Link to Creative,Spend,Impressions
Andersen Corporation,1/1/2025,Desktop Display,HTML5,1/3/2025,1/5/2025,https://s3.amazonaws.com/YM_Ads/QfsPmub2MZ-VXUix3fYYTg.png,37.2944,3945
Andersen Corporation,1/1/2025,Desktop Display,HTML5,6/19/2024,5/16/2025,https://s3.amazonaws.com/YM_Ads/DHjk4NYLSES1j1vggtcNsA.png,4579.7729,1378522
Andersen Corporation,1/1/2025,Instagram,Unknown Post Type,1/3/2025,1/23/2025,,2757.3441,341302
Andersen Corporation,1/1/2025,Facebook,Link Post,7/31/2024,5/31/2025,https://s3.amazonaws.com/YM_Ads/-4010716692669508989.png,2373.2735,328417
Andersen Corporation,1/1/2025,Facebook,Link Post,8/26/2024,5/1/2025,https://s3.amazonaws.com/YM_Ads/6874751887605767253.png,38593.5058,5340663
Andersen Corporation,1/1/2025,Desktop Display,HTML5,12/15/2024,1/3/2025,https://s3.amazonaws.com/YM_Ads/1RQJGcTcFAPO4z-M6QR64w.png,14.2062,1503
Andersen Corporation,1/1/2025,Desktop Video,Video,7/17/2023,1/9/2025,https://s3.amazonaws.com/YM_Ads/RWQy_qJW4LArera54bPNtg.mp4,309.5686,62594
Andersen Corporation,1/1/2025,OTT,Video,1/23/2025,1/24/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/0a13207089224364/media,13201.5837,549681
Andersen Corporation,1/1/2025,YouTube,Video,1/23/2025,1/23/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/0a7b1be1031bac1b/media,45.5792,32530
Andersen Corporation,1/1/2025,YouTube,Video,8/12/2023,1/27/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/f1d4ad2c2ca6c081/media,206.5021,14738
Andersen Corporation,1/1/2025,YouTube,Video,1/24/2025,1/27/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/1606a3273aa1450d/media,40.6983,29046
Andersen Corporation,1/1/2025,Facebook,Photo Post,1/4/2024,6/1/2025,https://s3.amazonaws.com/YM_Ads/-7696615787085246910.png,30296.2642,4192471
Andersen Corporation,1/1/2025,YouTube,Video,1/7/2025,2/1/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/1d5bc4a6168ac45d/media,3339.5927,2383435
Andersen Corporation,1/1/2025,YouTube,Video,1/20/2025,1/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/f6c1e528abf0d21a/media,263.4182,187998
Andersen Corporation,1/1/2025,OTT,Video,1/31/2025,2/7/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/3545f091e46104c8/media,19021.105,872343
Andersen Corporation,1/1/2025,YouTube,Video,1/7/2025,1/31/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/ce20ff3b059fbea3/media,947.7503,676398
Andersen Corporation,1/1/2025,Instagram,Photo Post,6/6/2024,4/15/2025,https://s3.amazonaws.com/YM_Ads/2004453920421339217.png,7876.133,974915
Andersen Corporation,1/1/2025,Mobile Display,Image,1/3/2025,3/30/2025,https://s3.amazonaws.com/YM_Ads/gpG97s33ceWgIsUaIfa6zQ.jpg,34.4106,8347
Andersen Corporation,1/1/2025,OTT,Video,1/22/2025,2/22/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/1d9bde5e4f49d8cb/media,5213.6133,210490
Andersen Corporation,1/1/2025,OTT,Video,4/4/2024,1/23/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/8789216d62dad670/media,20029.7009,808664
Andersen Corporation,1/1/2025,Desktop Video,Video,1/15/2025,1/15/2025,https://s3.amazonaws.com/YM_Ads/5iJRQ6PstKETOKsjznoRyw.mp4,522.05,52612
Andersen Corporation,1/1/2025,Instagram,Reel Post,3/9/2024,4/22/2025,https://s3.amazonaws.com/YM_Ads/-5543168253690609040.png,155.494,19247
Andersen Corporation,1/1/2025,Instagram,Reel Post,1/24/2024,6/1/2025,,464.5419,57501
Andersen Corporation,1/1/2025,YouTube,Video,1/17/2025,1/21/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/9797e66b4216a47f/media,60.2058,42968
Andersen Corporation,1/1/2025,Facebook,Photo Post,11/7/2024,1/12/2025,https://s3.amazonaws.com/YM_Ads/1146509033097898838.png,179155.8891,24792000
Andersen Corporation,1/1/2025,YouTube,Video,1/7/2025,1/10/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/8ac6a72349b2af48/media,107.9484,77042
Andersen Corporation,1/1/2025,Instagram,Photo Post,1/24/2025,1/26/2025,https://s3.amazonaws.com/YM_Ads/3904767818777376717.png,1001.4005,123952
Andersen Corporation,1/1/2025,OTT,Video,1/17/2025,1/22/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/37e75c9e199ee2f2/media,15760.9885,570063
Andersen Corporation,1/1/2025,OTT,Video,1/21/2025,1/25/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/9797e66b4216a47f/media,6103.0513,171394
Andersen Corporation,1/1/2025,OTT,Video,1/21/2025,1/21/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/156d16b743a694c0/media,4525.9692,120522
Andersen Corporation,1/1/2025,Desktop Display,HTML5,11/28/2024,1/3/2025,https://s3.amazonaws.com/YM_Ads/KEkIPA4MEYyQsQNMvMBYAw.png,28.4124,3006
